日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-10,66.4,66.88,69.11,65.65,4818,32363486.0,5.2,0.57,0.38,5.05
2023-02-13,66.79,66.52,67.25,65.5,3133,20802331.0,2.62,-0.54,-0.36,3.29
2023-02-14,66.49,65.0,66.5,64.2,3351,21827568.0,3.46,-2.29,-1.52,3.52
2023-02-15,64.39,66.0,66.19,64.38,2793,18265698.0,2.78,1.54,1.0,2.93
2023-02-16,66.0,64.83,67.67,64.45,4176,27579906.0,4.88,-1.77,-1.17,4.38
2023-02-17,64.83,62.77,65.32,62.08,3671,23214709.0,5.0,-3.18,-2.06,3.85
2023-02-20,62.32,62.88,63.45,62.13,2143,13477295.0,2.1,0.18,0.11,2.25
2023-02-21,62.75,60.99,63.9,60.75,2549,15766771.0,5.01,-3.01,-1.89,2.67
2023-02-22,60.65,62.69,63.59,60.3,1990,12342684.0,5.39,2.79,1.7,2.09
2023-02-23,62.79,61.78,63.68,61.3,1538,9566528.0,3.8,-1.45,-0.91,1.61
2023-02-24,62.2,61.6,63.42,61.44,2206,13747393.0,3.2,-0.29,-0.18,2.31
2023-02-27,61.83,59.87,61.83,59.17,2308,13908108.0,4.32,-2.81,-1.73,2.42
2023-02-28,61.1,63.9,67.89,61.1,10631,68362208.0,11.34,6.73,4.03,11.15
2023-03-01,63.99,66.82,67.32,63.01,8796,57682713.0,6.74,4.57,2.92,9.23
2023-03-02,66.98,66.91,68.0,65.73,5401,36171719.0,3.4,0.13,0.09,5.67
2023-03-03,66.97,65.3,67.3,64.06,3562,23290310.0,4.84,-2.41,-1.61,3.74
2023-03-06,65.36,65.88,66.09,64.34,3099,20284426.0,2.68,0.89,0.58,3.25
2023-03-07,65.98,64.6,67.87,64.41,3678,24192854.0,5.25,-1.94,-1.28,3.86
2023-03-08,64.74,72.23,72.23,64.32,11351,78439972.0,12.24,11.81,7.63,11.91
2023-03-09,71.72,71.0,72.19,69.1,6624,46649402.0,4.28,-1.7,-1.23,6.95
2023-03-10,70.95,73.83,75.04,70.49,10321,75497726.0,6.41,3.99,2.83,10.83
